epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,197.567,1.6238,2.66678,1.42257,0.49116,0.51427,0.46432,0.23185,1.65177,2.27758,1.39832,0.000553389,0.000553389,0.000553389
2,470.217,1.64635,1.89995,1.43747,0.57236,0.49549,0.512,0.24391,1.75758,1.94022,1.48379,0.00109808,0.00109808,0.00109808
3,634.935,1.62657,1.63244,1.42156,0.61084,0.4891,0.52916,0.27449,1.62268,1.75212,1.41635,0.00163176,0.00163176,0.00163176
4,830.223,1.595,1.51002,1.38971,0.67961,0.62036,0.67372,0.34485,1.56741,1.38039,1.3837,0.00161749,0.00161749,0.00161749
5,1217.67,1.56141,1.43126,1.38017,0.69383,0.64146,0.68726,0.37463,1.49292,1.31887,1.31006,0.00160099,0.00160099,0.00160099
6,1378.52,1.5283,1.33457,1.35596,0.68052,0.62746,0.67593,0.38177,1.4843,1.25433,1.32278,0.00158448,0.00158448,0.00158448
7,1884.16,1.47461,1.26838,1.31644,0.72263,0.5953,0.66039,0.36259,1.50617,1.58047,1.362,0.00156798,0.00156798,0.00156798
8,2015.6,1.47048,1.22231,1.31718,0.771,0.66287,0.75088,0.42358,1.40474,1.22364,1.28211,0.00155148,0.00155148,0.00155148
9,2144.28,1.44466,1.20177,1.29771,0.78901,0.67668,0.75588,0.42098,1.44538,1.13497,1.28988,0.00153497,0.00153497,0.00153497
10,2260.88,1.41373,1.14441,1.28311,0.76656,0.68867,0.7617,0.43638,1.42956,1.1483,1.28921,0.00151847,0.00151847,0.00151847
11,2390.87,1.40304,1.10983,1.26919,0.77917,0.74219,0.78667,0.4613,1.38421,1.05027,1.24133,0.00150197,0.00150197,0.00150197
12,2540.02,1.36053,1.06001,1.24667,0.81521,0.72608,0.80856,0.47867,1.33976,1.03077,1.21767,0.00148546,0.00148546,0.00148546
13,2704.02,1.35847,1.04143,1.24104,0.83817,0.76604,0.83834,0.49876,1.30299,0.95729,1.21854,0.00146896,0.00146896,0.00146896
14,3042.19,1.33601,1.02661,1.23281,0.79476,0.68673,0.76674,0.44361,1.38831,1.08438,1.25272,0.00145246,0.00145246,0.00145246
15,3556.55,1.34099,1.01237,1.23197,0.8484,0.73186,0.82672,0.50525,1.30139,0.93032,1.1855,0.00143595,0.00143595,0.00143595
16,4121.07,1.32405,0.99059,1.21377,0.85674,0.77704,0.83057,0.50007,1.31714,0.91723,1.21634,0.00141945,0.00141945,0.00141945
17,4545.73,1.32175,0.97946,1.21624,0.85755,0.80615,0.86323,0.52177,1.30543,0.90636,1.19717,0.00140295,0.00140295,0.00140295
18,4733.84,1.28661,0.933,1.19693,0.86073,0.81289,0.87292,0.52824,1.28548,0.87477,1.1864,0.00138644,0.00138644,0.00138644
19,4861.93,1.28326,0.91855,1.19316,0.85208,0.78049,0.85588,0.51816,1.28404,0.89688,1.17743,0.00136994,0.00136994,0.00136994
20,4978.28,1.28547,0.91718,1.19424,0.84186,0.79567,0.85628,0.52928,1.25471,0.8786,1.17083,0.00135344,0.00135344,0.00135344
21,5108.11,1.25581,0.88715,1.17794,0.8757,0.80545,0.87988,0.5576,1.22403,0.79834,1.14836,0.00133693,0.00133693,0.00133693
22,5337.33,1.24728,0.8908,1.17715,0.85251,0.7926,0.86782,0.51825,1.26691,0.88776,1.16741,0.00132043,0.00132043,0.00132043
23,5573.73,1.23184,0.86098,1.167,0.88329,0.79951,0.86757,0.53744,1.28739,0.80862,1.18078,0.00130393,0.00130393,0.00130393
24,7614.76,1.2265,0.84793,1.16405,0.88506,0.82904,0.89281,0.55524,1.25427,0.77803,1.17234,0.00128742,0.00128742,0.00128742
25,10070.6,1.22328,0.83935,1.15962,0.89013,0.83155,0.89771,0.56552,1.23908,0.76764,1.16039,0.00127092,0.00127092,0.00127092
26,10228.8,1.20609,0.83243,1.15101,0.90107,0.82991,0.90484,0.57265,1.23002,0.73818,1.15046,0.00125442,0.00125442,0.00125442
27,10376.2,1.1992,0.80559,1.14511,0.88567,0.82451,0.9002,0.56521,1.23614,0.75645,1.15354,0.00123791,0.00123791,0.00123791
28,17347.2,1.18131,0.79581,1.13657,0.8864,0.8367,0.90232,0.5759,1.21003,0.74931,1.13223,0.00122141,0.00122141,0.00122141
29,17577.5,1.18325,0.7905,1.1335,0.8908,0.82033,0.88442,0.55523,1.23428,0.76812,1.15292,0.00120491,0.00120491,0.00120491
30,17706.8,1.18058,0.80035,1.13032,0.91225,0.84277,0.90872,0.57891,1.20138,0.70841,1.12634,0.0011884,0.0011884,0.0011884
31,17854.6,1.19021,0.79209,1.13542,0.89,0.84549,0.90588,0.5769,1.21583,0.726,1.13186,0.0011719,0.0011719,0.0011719
32,17983.1,1.1685,0.7825,1.13013,0.89941,0.83501,0.90813,0.57261,1.22351,0.72211,1.15066,0.0011554,0.0011554,0.0011554
33,18099.6,1.16141,0.76916,1.12271,0.87707,0.8307,0.89057,0.55796,1.2041,0.79988,1.14451,0.00113889,0.00113889,0.00113889
